Network,Matched_Moves,Total_Moves,Match_Percentage
epoch_10.nnue,5760,36944,15.59
epoch_20.nnue,5598,36944,15.15
epoch_30.nnue,5323,36944,14.41
epoch_40.nnue,5338,36944,14.45
epoch_50.nnue,5122,36944,13.86
epoch_60.nnue,5145,36944,13.93
epoch_70.nnue,5091,36944,13.78
epoch_80.nnue,5004,36944,13.54
epoch_90.nnue,5058,36944,13.69
epoch_100.nnue,5093,36944,13.79
epoch_110.nnue,5147,36944,13.93
epoch_120.nnue,5040,36944,13.64
epoch_130.nnue,4957,36944,13.42
epoch_140.nnue,4943,36944,13.38
epoch_150.nnue,4986,36944,13.50
epoch_160.nnue,5040,36944,13.64
epoch_170.nnue,4982,36944,13.49
epoch_180.nnue,4820,36944,13.05
epoch_190.nnue,4898,36944,13.26
epoch_200.nnue,4890,36944,13.24
epoch_210.nnue,4965,36944,13.44
epoch_220.nnue,4986,36944,13.50
epoch_230.nnue,4912,36944,13.30
epoch_240.nnue,4985,36944,13.49
epoch_250.nnue,4825,36944,13.06
epoch_260.nnue,4846,36944,13.12
epoch_270.nnue,4934,36944,13.36
epoch_280.nnue,4816,36944,13.04
epoch_290.nnue,4902,36944,13.27
epoch_300.nnue,4839,36944,13.10
