Network,Matched_Moves,Total_Moves,Match_Percentage
epoch_10.nnue,4712,37389,12.60
epoch_20.nnue,4294,37389,11.48
epoch_30.nnue,4405,37389,11.78
epoch_40.nnue,4188,37389,11.20
epoch_50.nnue,4242,37389,11.35
epoch_60.nnue,4156,37389,11.12
epoch_70.nnue,4112,37389,11.00
epoch_80.nnue,4150,37389,11.10
epoch_90.nnue,4162,37389,11.13
epoch_100.nnue,4122,37389,11.02
epoch_110.nnue,4827,35995,13.41
epoch_120.nnue,4312,35995,11.98
epoch_130.nnue,4211,35995,11.70
epoch_140.nnue,4238,35995,11.77
epoch_150.nnue,4152,35995,11.53
epoch_160.nnue,4031,35995,11.20
epoch_170.nnue,3956,35995,10.99
epoch_180.nnue,3994,35995,11.10
epoch_190.nnue,3963,35995,11.01
epoch_200.nnue,3985,35995,11.07
epoch_210.nnue,5752,38259,15.03
epoch_220.nnue,5512,38259,14.41
epoch_230.nnue,5131,38259,13.41
epoch_240.nnue,5067,38259,13.24
epoch_250.nnue,4865,38259,12.72
epoch_260.nnue,4882,38259,12.76
epoch_270.nnue,4790,38259,12.52
epoch_280.nnue,4747,38259,12.41
epoch_290.nnue,4715,38259,12.32
epoch_300.nnue,4764,38259,12.45
